0,1,2,3,4,brand,model,trim,body_type,fuel_type,transmission_type,engine_capacity_cc,horsepower,exterior_color,interior_color,warranty,city,seller_type,price
-4.738537752232873,-7.96791596668786,1.6364044234622264,0.7618377332351604,7.938703935020913,Nissan,Qashqai,SE,Crossover,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Silver,Unknown,Does not apply,Abu Dhabi,Owner,28000
-4.720214881005284,-7.602878453005944,0.43864855435139455,1.559019618645604,0.13643529562174628,Infiniti,QX50,Excellence,Crossover,Petrol,Automatic Transmission,3500 - 3999 cc,300 - 399 HP,White,Beige,No,Sharjah,Dealer,43000
-4.605923680304246,-8.274118905554063,30.284556884245752,3.303262419720134,-10.941597344140451,Infiniti,QX60,Luxury,SUV,Petrol,Automatic Transmission,3500 - 3999 cc,200 - 299 HP,White,Black,Yes,Dubai,Dealer,199000
-4.880396159350716,-7.900152634172063,2.860572661437622,0.6774696945807691,18.90285432789733,Toyota,Rav 4,GXR,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Black,Black,No,Abu Dhabi,Owner,47900
-4.6818003176281175,-8.35344007481072,1.2673961226558514,0.748868122337191,-21.30810577620282,Toyota,Prado,Other,SUV,Diesel,Automatic Transmission,2500 - 2999 cc,100 - 199 HP,White,Black,Does not apply,Dubai,Dealer,179900
-4.808154536786486,-7.442414830549062,0.00691982812670952,0.8713386134216569,22.15089013127274,Mercedes-Benz,C-Class,C250 Luxury,Coupe,Petrol,Automatic Transmission,,200 - 299 HP,Black,Black,No,Dubai,Owner,23000
-4.738584374251841,-7.462650112529016,95.14201159489971,1.6298152294265857,-0.11559429832521512,Land Rover,Range Rover Sport,HSE,SUV,Petrol,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,Brown,Brown,No,Abu Dhabi,Dealer,85900
-4.791772540182612,-8.265354984652948,2.7323680158681523,6.825716443958987,-13.167408136404138,Mercedes-Benz,S-Class,S 580,Sedan,Petrol,Automatic Transmission,3500 - 3999 cc,400 - 499 HP,Other Color,White,No,Dubai,Dealer,899000
-4.798750416713292,-7.86351071069413,,1.5336446109618025,11.351259763414173,MINI,Paceman,Cooper S,Hatchback,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,White,Brown,No,Abu Dhabi,Dealer,32000
-4.69606434416084,-7.359310135398458,0.7901416942829739,3.6957154965180985,7.488194636371739,Infiniti,QX56,Other,SUV,Petrol,Automatic Transmission,4000+ cc,300 - 399 HP,Grey,Tan,Does not apply,Dubai,Dealer,67000
